dataset_split,sample_name,region_id,area,perimeter,log_area,log_perimeter,circularity,bbox_min_row,bbox_max_row,bbox_min_col,bbox_max_col,bbox_width,bbox_height,bbox_area,extent,centroid_row,centroid_col
train,sample_0001,8,63,40,4.143134726391533,3.6888794541139363,0.49480084294039245,119,127,33,43,11,9,99,0.6363636363636364,122.85714285714286,38.04761904761905
train,sample_0001,9,183,74,5.209486152841421,4.30406509320417,0.4199499310496217,80,98,68,83,16,19,304,0.6019736842105263,88.69398907103825,75.00546448087432
train,sample_0001,10,1968,260,7.584773077612199,5.560681631015528,0.3658375350452493,81,127,66,127,62,47,2914,0.6753603294440631,107.07977642276423,101.02540650406505
train,sample_0001,11,13,18,2.5649493574615367,2.8903717578961645,0.5042062283539175,70,73,123,127,5,4,20,0.65,71.92307692307692,125.61538461538461
train,sample_0001,12,4,8,1.3862943611198906,2.0794415416798357,0.7853981633974483,73,74,121,122,2,2,4,1.0,73.5,121.5
train,sample_0001,13,52,32,3.9512437185814275,3.4657359027997265,0.6381360077604268,74,81,120,127,8,8,64,0.8125,77.28846153846153,124.01923076923077
train,sample_0001,14,157,56,5.056245805348308,4.02535169073515,0.6291199574153029,120,127,72,91,20,8,160,0.98125,123.56050955414013,81.32484076433121
train,sample_0002,1,858,144,6.754604099487962,4.969813299576001,0.5199626729899773,0,44,0,23,24,45,1080,0.7944444444444444,17.905594405594407,10.545454545454545
train,sample_0002,2,479,108,6.171700597410915,4.68213122712422,0.516057229447706,0,18,22,53,32,19,608,0.787828947368421,8.35490605427975,37.21085594989562
train,sample_0002,3,3137,312,8.051022208190679,5.7430031878094825,0.4049628597267908,10,79,9,85,77,70,5390,0.5820037105751391,44.531718202103924,49.86802677717564
train,sample_0002,4,2,6,0.6931471805599453,1.791759469228055,0.6981317007977318,0,1,50,50,1,2,2,1.0,0.5,50.0
train,sample_0002,5,720,136,6.579251212010101,4.912654885736052,0.4891753266835318,0,28,50,87,38,29,1102,0.6533575317604355,10.130555555555556,69.60833333333333
train,sample_0002,6,17,20,2.833213344056216,2.995732273553991,0.5340707511102649,39,42,5,10,6,4,24,0.7083333333333334,40.588235294117645,7.411764705882353
train,sample_0002,7,249,90,5.517452896464707,4.499809670330265,0.38629954110807824,41,61,0,21,22,21,462,0.538961038961039,51.3574297188755,9.887550200803213
train,sample_0002,8,1919,228,7.5595594960077,5.429345628954441,0.4638901432932297,52,107,0,47,48,56,2688,0.7139136904761905,79.73423658155289,20.78374153204794
train,sample_0002,9,666,122,6.501289670540389,4.804021044733257,0.5622952720480522,0,23,85,119,35,24,840,0.7928571428571428,10.174174174174174,102.09009009009009
train,sample_0002,10,192,74,5.2574953720277815,4.30406509320417,0.4406032063471441,15,33,73,89,17,19,323,0.5944272445820433,23.984375,83.05208333333333
train,sample_0002,11,1384,180,7.232733136177615,5.19295685089021,0.5367857077244782,21,74,78,111,34,54,1836,0.7538126361655774,48.869942196531795,97.08020231213872
train,sample_0002,12,1058,184,6.964135612418245,5.214935757608986,0.39269908169872414,0,71,108,127,20,72,1440,0.7347222222222223,38.40831758034027,119.67769376181475
train,sample_0002,13,3609,356,8.19118600464279,5.87493073085203,0.3578464804571886,68,127,26,127,102,60,6120,0.5897058823529412,95.40343585480743,76.89941812136325
train,sample_0002,14,12,14,2.4849066497880004,2.6390573296152584,0.7693696294505615,98,101,0,2,3,4,12,1.0,99.5,1.0
train,sample_0002,15,712,128,6.568077911411976,4.852030263919617,0.5460971604872883,102,127,0,35,36,26,936,0.7606837606837606,116.76685393258427,14.924157303370787
train,sample_0002,16,26,26,3.258096538021482,3.258096538021482,0.48332194670612205,101,106,7,13,7,6,42,0.6190476190476191,102.96153846153847,10.384615384615385
train,sample_0002,17,136,54,4.912654885736052,3.9889840465642745,0.586085872274639,118,127,59,75,17,10,170,0.8,123.13970588235294,68.32352941176471
train,sample_0002,18,700,124,6.551080335043404,4.820281565605037,0.5720902334840934,100,127,74,107,34,28,952,0.7352941176470589,115.24285714285715,89.23142857142857
train,sample_0002,19,508,96,6.230481447578482,4.564348191467836,0.6926775468852495,104,127,104,127,24,24,576,0.8819444444444444,116.43700787401575,116.68897637795276
train,sample_0003,1,302,84,5.71042701737487,4.430816798843313,0.5378463613288648,0,13,0,27,28,14,392,0.7704081632653061,5.327814569536423,12.026490066225165
train,sample_0003,2,4515,378,8.415160465851086,5.934894195619588,0.3970854911944771,12,127,0,58,59,116,6844,0.6597019286966687,71.06489479512736,20.43831672203765
train,sample_0003,3,1936,236,7.568379267836522,5.4638318050256105,0.4368086309501465,0,49,20,78,59,50,2950,0.656271186440678,20.165289256198346,48.13429752066116
train,sample_0003,4,907,158,6.810142450115136,5.062595033026967,0.4565653800362029,26,61,54,90,37,36,1332,0.6809309309309309,45.24035281146637,71.93825799338478
train,sample_0003,5,6957,448,8.847503625923641,6.104793232414985,0.4355879322987921,20,127,34,127,94,108,10152,0.6852836879432624,84.90815006468306,89.5848785396004
train,sample_0003,6,1103,170,7.005789019253503,5.135798437050262,0.47960923140616496,0,44,70,107,38,45,1710,0.6450292397660818,17.190389845874886,89.76155938349955
train,sample_0003,7,412,104,6.021023349349527,4.6443908991413725,0.4786746202954862,0,23,106,127,22,24,528,0.7803030303030303,10.725728155339805,115.93446601941747
train,sample_0003,8,10,16,2.302585092994046,2.772588722239781,0.4908738521234052,3,8,126,127,2,6,12,0.8333333333333334,5.5,126.6
train,sample_0003,9,55,40,4.007333185232471,3.6888794541139363,0.43196898986859655,9,22,122,127,6,14,84,0.6547619047619048,15.072727272727272,125.10909090909091
train,sample_0003,10,59,44,4.07753744390572,3.784189633918261,0.38296274083016074,116,124,33,45,13,9,117,0.5042735042735043,119.13559322033899,38.644067796610166
train,sample_0003,11,50,34,3.912023005428146,3.5263605246161616,0.5435281407594797,118,123,40,50,11,6,66,0.7575757575757576,121.02,44.88
train,sample_0003,12,73,48,4.290459441148391,3.871201010907891,0.3981532356112064,123,127,35,53,19,5,95,0.7684210526315789,125.52054794520548,43.61643835616438
train,sample_0003,13,5,10,1.6094379124341003,2.302585092994046,0.6283185307179586,125,127,33,34,2,3,6,0.8333333333333334,126.2,33.6
train,sample_0004,1,2433,268,7.796880342783522,5.5909869805108565,0.42567915605836304,0,61,0,63,64,62,3968,0.6131552419354839,26.99383477188656,21.785861076859845
train,sample_0004,2,253,84,5.53338948872752,4.430816798843313,0.45057989872914833,0,14,33,57,25,15,375,0.6746666666666666,5.4229249011857705,43.312252964426875
train,sample_0004,3,828,172,6.71901315438526,5.147494476813453,0.3517088584602959,0,32,52,94,43,33,1419,0.5835095137420718,12.095410628019323,71.68840579710145
train,sample_0004,4,710,138,6.565264970035361,4.927253685157205,0.46850047974138903,26,54,40,77,38,29,1102,0.6442831215970962,39.095774647887325,58.615492957746476
train,sample_0004,5,10344,492,9.244161920451694,6.198478716492308,0.536992438507714,30,127,0,127,128,98,12544,0.8246173469387755,86.65458236658932,66.54263341067285
train,sample_0004,6,539,118,6.289715570908998,4.770684624465665,0.4864459753762995,0,26,88,115,28,27,756,0.7129629629629629,10.922077922077921,103.49165120593692
train,sample_0004,7,202,68,5.308267697401205,4.219507705176107,0.5489634221670746,16,27,76,96,21,12,252,0.8015873015873016,20.955445544554454,86.32673267326733
train,sample_0004,8,24,24,3.1780538303479458,3.1780538303479458,0.5235987755982988,25,30,80,85,6,6,36,0.6666666666666666,27.291666666666668,82.54166666666667
train,sample_0004,9,584,126,6.369900982828227,4.836281906951478,0.46225500370280653,21,43,78,116,39,23,897,0.6510590858416946,34.59760273972603,95.89212328767124
train,sample_0004,10,235,74,5.459585514144159,4.30406509320417,0.5392799661019733,0,21,115,127,13,22,286,0.8216783216783217,9.268085106382978,121.58723404255319
train,sample_0004,11,232,86,5.44673737166631,4.454347296253507,0.39418577373327857,18,36,106,127,22,19,418,0.5550239234449761,26.07758620689655,117.90517241379311
train,sample_0005,1,2,6,0.6931471805599453,1.791759469228055,0.6981317007977318,0,0,0,1,2,1,2,1.0,0.0,0.5
train,sample_0005,2,965,178,6.872128101338986,5.181783550292085,0.3827341132071898,0,27,0,55,56,28,1568,0.6154336734693877,10.054922279792747,31.012435233160623
train,sample_0005,3,506,104,6.226536669287466,4.6443908991413725,0.5878867909454273,7,39,0,18,19,33,627,0.8070175438596491,22.988142292490117,7.458498023715415
train,sample_0005,4,8477,472,9.045111892608405,6.156978985585555,0.4781542826142035,12,127,0,92,93,116,10788,0.78578049684835,77.9489206087059,42.17824702135189
train,sample_0005,5,2745,268,7.917536353943631,5.5909869805108565,0.48026686534328256,0,47,49,127,79,48,3792,0.7238924050632911,19.81311475409836,96.6127504553734
train,sample_0005,6,390,98,5.966146739123692,4.584967478670572,0.5102961827988418,36,61,67,87,21,26,546,0.7142857142857143,49.47435897435897,78.25128205128205
train,sample_0005,7,288,94,5.662960480135946,4.543294782270004,0.4095874532520871,38,63,86,105,20,26,520,0.5538461538461539,51.08680555555556,94.11111111111111
train,sample_0005,8,3011,266,8.010027528481734,5.583496308781699,0.5347580688540261,46,127,86,127,42,82,3444,0.874274099883856,89.63168382597144,108.3736300232481
train,sample_0006,1,2504,262,7.825644732219989,5.568344503761097,0.45839683028895994,0,63,0,56,57,64,3648,0.6864035087719298,27.167332268370608,21.65055910543131
train,sample_0006,2,149,60,5.003946305945459,4.0943445622221,0.5201081170943102,0,11,37,51,15,12,180,0.8277777777777777,5.530201342281879,43.919463087248324
train,sample_0006,3,11111,524,9.315690887584008,6.261491684321042,0.5085111003734659,0,127,16,127,112,128,14336,0.7750418526785714,64.58770587705877,83.06867068670687
train,sample_0006,4,670,142,6.507277712385012,4.955827057601261,0.4175495096022935,55,94,0,23,24,40,960,0.6979166666666666,74.25671641791045,10.456716417910448
train,sample_0006,5,59,40,4.07753744390572,3.6888794541139363,0.4633849164044945,49,59,20,28,9,11,99,0.5959595959595959,53.6271186440678,24.559322033898304
train,sample_0006,6,153,72,5.030437921392435,4.276666119016055,0.37088246604879505,42,58,28,44,17,17,289,0.5294117647058824,51.45751633986928,36.091503267973856
train,sample_0006,7,1171,166,7.065613363597717,5.111987788356544,0.5340114671728332,91,127,0,39,40,37,1480,0.7912162162162162,107.67719897523484,16.882152006831767
train,sample_0006,8,567,122,6.340359303727752,4.804021044733257,0.47871083971658496,104,127,20,55,36,24,864,0.65625,118.2010582010582,40.3968253968254
train,sample_0007,1,442,102,6.091309882077698,4.624972813284271,0.533865418257089,0,28,0,19,20,29,580,0.7620689655172413,12.78054298642534,7.583710407239819
train,sample_0007,2,38,30,3.6375861597263857,3.4011973816621555,0.5305800926062761,0,7,16,22,7,8,56,0.6785714285714286,3.026315789473684,18.05263157894737
train,sample_0007,3,157,58,5.056245805348308,4.060443010546419,0.5864804359257997,0,13,20,34,15,14,210,0.7476190476190476,5.808917197452229,25.961783439490446
train,sample_0007,4,1113,170,7.014814351275545,5.135798437050262,0.48395745653224076,12,51,0,39,40,40,1600,0.695625,32.78077268643306,19.41329739442947
train,sample_0007,5,30,26,3.4011973816621555,3.258096538021482,0.5576791692762946,0,4,34,41,8,5,40,0.75,1.6333333333333333,37.333333333333336
train,sample_0007,6,204,72,5.318119993844216,4.276666119016055,0.4945099547317267,2,19,32,47,16,18,288,0.7083333333333334,10.151960784313726,39.294117647058826
train,sample_0007,7,29,26,3.367295829986474,3.258096538021482,0.5390898636337516,0,5,42,48,7,6,42,0.6904761904761905,2.0,45.310344827586206
train,sample_0007,8,8557,482,9.054504940418054,6.1779441140506,0.4628468576086476,0,127,36,127,92,128,11776,0.7266474184782609,52.82260137898796,89.56515133808578
train,sample_0007,9,3055,334,8.024534871605695,5.811140992976701,0.344134445721138,51,127,0,71,72,77,5544,0.551046176046176,99.18887070376432,25.328314238952537
train,sample_0007,10,1689,226,7.4318919168078,5.420534999272286,0.41554937676506853,40,99,12,61,50,60,3000,0.563,67.61930136175252,37.319715808170514
train,sample_0007,11,702,152,6.553933404025811,5.0238805208462765,0.3818209907929423,100,127,52,95,44,28,1232,0.5698051948051948,116.43019943019944,74.64102564102564
train,sample_0007,12,22,24,3.091042453358316,3.1780538303479458,0.47996554429844057,108,112,88,94,7,5,35,0.6285714285714286,110.18181818181819,90.86363636363636
train,sample_0007,13,79,40,4.3694478524670215,3.6888794541139363,0.6204645490839842,120,127,84,95,12,8,96,0.8229166666666666,124.0632911392405,89.36708860759494
train,sample_0007,14,58,38,4.060443010546419,3.6375861597263857,0.504743418028277,108,117,119,127,9,10,90,0.6444444444444445,112.84482758620689,124.17241379310344
train,sample_0007,15,173,68,5.153291594497779,4.219507705176107,0.47015184175694996,114,127,108,127,20,14,280,0.6178571428571429,120.51445086705202,119.28323699421965
train,sample_0007,16,36,28,3.58351893845611,3.332204510175204,0.5770272220879212,120,127,112,117,6,8,48,0.75,123.83333333333333,113.83333333333333
train,sample_0008,1,1840,234,7.517520850603031,5.455321115357702,0.42227558496641243,0,46,0,59,60,47,2820,0.6524822695035462,17.457608695652173,23.520652173913042
train,sample_0008,2,9904,462,9.200693994924377,6.135564891081739,0.5830912771715918,0,127,42,127,86,128,11008,0.8997093023255814,63.15953150242326,88.63459208400646
train,sample_0008,3,727,160,6.588926477533519,5.075173815233827,0.35686529049371557,35,67,0,31,32,33,1056,0.6884469696969697,51.077028885832185,13.631361760660248
train,sample_0008,4,610,132,6.413458957167357,4.882801922586371,0.4399383651721244,32,69,30,55,26,38,988,0.6174089068825911,51.959016393442624,41.00983606557377
train,sample_0008,5,1353,172,7.210079628170788,5.147494476813453,0.5747126636434545,58,104,0,38,39,47,1833,0.7381342062193126,82.42054693274206,16.74648928307465
train,sample_0008,6,936,158,6.841615476477592,5.062595033026967,0.4711633910847695,68,115,29,58,30,48,1440,0.65,89.55235042735043,42.47008547008547
train,sample_0008,7,256,80,5.545177444479562,4.382026634673881,0.5026548245743669,104,127,0,15,16,24,384,0.6666666666666666,113.5,5.5
train,sample_0008,8,758,136,6.630683385642372,4.912654885736052,0.5149929133696071,104,127,8,51,44,24,1056,0.7178030303030303,118.08707124010554,27.0778364116095
train,sample_0009,1,496,98,6.206575926724928,4.584967478670572,0.6489920683800655,0,23,0,24,25,24,600,0.8266666666666667,11.40725806451613,9.971774193548388
train,sample_0009,2,4970,408,8.511175119090675,6.0112671744041615,0.37518539716314087,0,79,0,87,88,80,7040,0.7059659090909091,37.680281690140845,38.72776659959759
train,sample_0009,3,1847,240,7.52131798019924,5.480638923341991,0.4029528910541908,8,63,66,110,45,56,2520,0.7329365079365079,36.894423389279915,88.47698971304818
train,sample_0009,4,155,58,5.043425116919247,4.060443010546419,0.579009347570057,0,9,88,106,19,10,190,0.8157894736842105,3.774193548387097,96.81290322580645
train,sample_0009,5,533,108,6.278521424165844,4.68213122712422,0.5742348711808504,0,23,102,127,26,24,624,0.8541666666666666,11.22889305816135,116.2701688555347
train,sample_0009,6,659,128,6.490723534502507,4.852030263919617,0.5054466696083187,22,55,100,127,28,34,952,0.6922268907563025,38.04552352048558,116.42943854324734
train,sample_0009,7,4497,330,8.411165786770708,5.799092654460526,0.5189253319813885,52,127,52,127,76,76,5776,0.7785664819944599,94.88525683789193,95.0002223704692
train,sample_0009,8,172,70,5.147494476813453,4.248495242049359,0.441105254218322,72,87,12,30,19,16,304,0.5657894736842105,78.19186046511628,20.023255813953487
train,sample_0009,9,1385,244,7.233455418621439,5.497168225293202,0.2923344413613184,75,110,0,63,64,36,2304,0.6011284722222222,91.28808664259928,35.12996389891697
train,sample_0009,10,5,10,1.6094379124341003,2.302585092994046,0.6283185307179586,65,66,25,27,3,2,6,0.8333333333333334,65.6,26.2
train,sample_0009,11,4,8,1.3862943611198906,2.0794415416798357,0.7853981633974483,65,66,28,29,2,2,4,1.0,65.5,28.5
train,sample_0009,12,171,62,5.14166355650266,4.127134385045092,0.5590138852901713,88,107,0,10,11,20,220,0.7772727272727272,97.43859649122807,3.9707602339181287
train,sample_0009,13,219,84,5.389071729816501,4.430816798843313,0.39002765937424305,67,84,45,68,24,18,432,0.5069444444444444,75.53424657534246,57.94063926940639
train,sample_0009,14,1217,168,7.104144092987527,5.123963979403259,0.5418534948155865,100,127,0,52,53,28,1484,0.8200808625336927,115.51437962202137,24.630238290879213
train,sample_0009,15,54,40,3.9889840465642745,3.6888794541139363,0.42411500823462206,119,127,49,59,11,9,99,0.5454545454545454,124.29629629629629,54.370370370370374
train,sample_0010,1,1090,174,6.993932975223189,5.159055299214529,0.4524159059866395,0,55,0,27,28,56,1568,0.6951530612244898,33.159633027522936,10.726605504587155
train,sample_0010,2,2235,238,7.711996507047669,5.472270673671475,0.49583077330507647,0,44,7,77,71,45,3195,0.6995305164319249,17.89082774049217,43.68366890380313
train,sample_0010,3,9378,474,9.146121799649531,6.161207321695077,0.524521638365737,36,127,0,127,128,92,11776,0.7963654891304348,89.1127105992749,58.78023032629559
train,sample_0010,4,52,40,3.9512437185814275,3.6888794541139363,0.4084070449666731,37,45,44,54,11,9,99,0.5252525252525253,41.55769230769231,48.11538461538461
train,sample_0010,5,50,36,3.912023005428146,3.58351893845611,0.484813681109536,0,3,65,78,14,4,56,0.8928571428571429,1.48,71.74
train,sample_0010,6,2158,254,7.67693714581808,5.537334267018537,0.42033337134644266,0,59,70,127,58,60,3480,0.6201149425287357,29.509731232622798,98.09916589434661
train,sample_0010,7,34,26,3.5263605246161616,3.258096538021482,0.6320363918464673,27,35,68,71,4,9,36,0.9444444444444444,31.235294117647058,69.44117647058823
train,sample_0010,8,38,30,3.6375861597263857,3.4011973816621555,0.5305800926062761,28,37,72,76,5,10,50,0.76,31.86842105263158,73.73684210526316
train,sample_0010,9,521,108,6.255750041753367,4.68213122712422,0.5613065063512628,0,23,100,127,28,24,672,0.7752976190476191,9.673704414587332,115.52975047984646
train,sample_0010,10,418,106,6.035481432524756,4.663439094112067,0.46749224962639147,48,70,100,127,28,23,644,0.6490683229813664,58.23684210526316,114.0933014354067
train,sample_0010,11,342,102,5.834810737062605,4.624972813284271,0.41308138697720465,62,91,111,127,17,30,510,0.6705882352941176,76.12865497076024,121.19298245614036
train,sample_0010,12,16,20,2.772588722239781,2.995732273553991,0.5026548245743669,69,74,107,110,4,6,24,0.6666666666666666,71.25,108.5
train,sample_0010,13,27,24,3.295836866004329,3.1780538303479458,0.5890486225480862,70,75,110,115,6,6,36,0.75,72.14814814814815,112.29629629629629
train,sample_0010,14,16,18,2.772588722239781,2.8903717578961645,0.620561511820206,74,77,106,110,5,4,20,0.8,75.8125,107.6875
train,sample_0010,15,9,14,2.1972245773362196,2.6390573296152584,0.5770272220879212,70,73,115,117,3,4,12,0.75,71.66666666666667,116.33333333333333
train,sample_0011,1,471,108,6.154858094016418,4.68213122712422,0.5074383195613144,0,29,0,23,24,30,720,0.6541666666666667,10.681528662420382,9.042462845010617
train,sample_0011,2,12501,646,9.433563920090563,6.470799503782602,0.376434641974197,0,127,0,127,128,128,16384,0.76300048828125,69.36549076073914,55.40340772738181
train,sample_0011,3,2520,248,7.832014180505469,5.5134287461649825,0.5148812101356841,0,59,66,127,62,60,3720,0.6774193548387096,26.454761904761906,98.87261904761905
train,sample_0011,4,35,32,3.5553480614894135,3.4657359027997265,0.4295146206079795,122,127,5,14,10,6,60,0.5833333333333334,125.31428571428572,9.657142857142857
train,sample_0011,5,34,28,3.5263605246161616,3.332204510175204,0.5449701541941478,122,127,15,22,8,6,48,0.7083333333333334,124.97058823529412,18.11764705882353
train,sample_0011,6,377,102,5.932245187448011,4.624972813284271,0.4553557979251642,98,115,99,127,29,18,522,0.7222222222222222,105.72944297082228,116.16976127320955
train,sample_0011,7,364,116,5.8971538676367405,4.7535901911063645,0.3399345201862915,105,127,98,123,26,23,598,0.6086956521739131,118.56593406593407,108.41208791208791
train,sample_0011,8,77,48,4.343805421853684,3.871201010907891,0.41996985126113556,116,127,118,127,10,12,120,0.6416666666666667,120.2987012987013,123.79220779220779
train,sample_0011,9,5,10,1.6094379124341003,2.302585092994046,0.6283185307179586,126,127,124,126,3,2,6,0.8333333333333334,126.6,124.8
train,sample_0012,1,2846,258,7.953669778649798,5.552959584921617,0.5372857816307044,0,63,0,60,61,64,3904,0.7289959016393442,26.58116654954322,23.499648629655656
train,sample_0012,2,3175,300,8.063062911326792,5.703782474656201,0.44331363000655966,0,62,54,127,74,63,4662,0.681038181038181,24.00755905511811,95.91370078740158
train,sample_0012,3,1509,234,7.319202458767849,5.455321115357702,0.34631187919256323,17,82,35,75,41,66,2706,0.5576496674057649,48.70377733598409,52.99933730947647
train,sample_0012,4,1997,290,7.599401333415815,5.66988092298052,0.2983952689283623,55,127,0,43,44,73,3212,0.6217310087173101,88.38507761642464,16.518277416124185
train,sample_0012,5,5619,396,8.633908991112198,5.981414211254481,0.4502757147362781,46,127,38,127,90,82,7380,0.7613821138211382,89.3950880939669,90.72824345969033
train,sample_0012,6,286,100,5.655991810819852,4.605170185988092,0.3593981995706723,86,109,30,54,25,24,600,0.4766666666666667,97.52797202797203,41.80769230769231
train,sample_0012,7,341,100,5.831882477283517,4.605170185988092,0.42851323794964774,92,115,20,43,24,24,576,0.5920138888888888,104.22873900293256,30.780058651026394
train,sample_0012,8,16,22,2.772588722239781,3.091042453358316,0.41541721039203877,81,85,46,51,6,5,30,0.5333333333333333,82.75,49.125
train,sample_0012,9,60,48,4.0943445622221,3.871201010907891,0.32724923474893675,113,127,10,17,8,15,120,0.5,120.68333333333334,13.116666666666667
train,sample_0012,10,247,86,5.5093883366279774,4.454347296253507,0.41967192289706806,114,127,18,46,29,14,406,0.6083743842364532,122.26315789473684,32.59919028340081
train,sample_0012,11,104,48,4.6443908991413725,3.871201010907891,0.5672320068981571,108,119,39,50,12,12,144,0.7222222222222222,113.60576923076923,44.18269230769231
train,sample_0012,12,17,20,2.833213344056216,2.995732273553991,0.5340707511102649,109,113,50,54,5,5,25,0.68,111.11764705882354,51.88235294117647
train,sample_0012,13,167,62,5.117993812416755,4.127134385045092,0.5459375370962493,114,127,44,59,16,14,224,0.7455357142857143,121.53892215568862,51.84431137724551
train,sample_0013,1,12341,598,9.420682331453184,6.393590753950631,0.4336684705758508,0,127,0,127,128,128,16384,0.75323486328125,55.034113929179156,51.104043432460905
train,sample_0013,2,3629,332,8.19671240721307,5.805134968916488,0.41373347872976335,42,127,68,127,60,86,5160,0.7032945736434109,86.67842380821163,99.28299807109397
train,sample_0013,3,15,18,2.70805020110221,2.8903717578961645,0.5817764173314431,58,62,90,93,4,5,20,0.75,60.266666666666666,91.66666666666667
train,sample_0013,4,389,100,5.963579343618446,4.605170185988092,0.48883181689857186,98,127,109,127,19,30,570,0.6824561403508772,115.0719794344473,120.26478149100257
train,sample_0013,5,10,16,2.302585092994046,2.772588722239781,0.4908738521234052,97,100,124,127,4,4,16,0.625,98.5,125.3
train,sample_0014,1,266,76,5.583496308781699,4.330733340286331,0.5787144361875934,0,19,0,17,18,20,360,0.7388888888888889,8.571428571428571,7.109022556390977
train,sample_0014,2,5671,480,8.643120748014027,6.173786103901937,0.30930506837687005,0,70,4,125,122,71,8662,0.654698683906719,27.370128725092577,61.99347557749956
train,sample_0014,3,2,6,0.6931471805599453,1.791759469228055,0.6981317007977318,13,13,17,18,2,1,2,1.0,13.0,17.5
train,sample_0014,4,2,6,0.6931471805599453,1.791759469228055,0.6981317007977318,14,14,17,18,2,1,2,1.0,14.0,17.5
train,sample_0014,5,32,24,3.4657359027997265,3.1780538303479458,0.6981317007977318,20,27,0,3,4,8,32,1.0,23.5,1.5
train,sample_0014,6,73,40,4.290459441148391,3.6888794541139363,0.5733406592801372,25,33,0,10,11,9,99,0.7373737373737373,29.438356164383563,4.890410958904109
train,sample_0014,7,151,58,5.017279836814924,4.060443010546419,0.5640671708585716,34,48,0,13,14,15,210,0.719047619047619,39.794701986754966,5.4635761589403975
train,sample_0014,8,6126,398,8.72029728739272,5.986452005284438,0.4859825912449452,42,127,0,90,91,86,7826,0.782775364170713,90.28419849820438,40.507345739471106
train,sample_0014,9,22,20,3.091042453358316,2.995732273553991,0.6911503837897545,42,46,9,13,5,5,25,0.88,43.77272727272727,11.090909090909092
train,sample_0014,10,8,12,2.0794415416798357,2.4849066497880004,0.6981317007977318,50,51,34,37,4,2,8,1.0,50.5,35.5
train,sample_0014,11,150,72,5.0106352940962555,4.276666119016055,0.363610260832152,0,22,115,127,13,23,299,0.5016722408026756,7.506666666666667,123.24666666666667
train,sample_0014,12,271,72,5.602118820879701,4.276666119016055,0.6569225379034213,24,39,104,123,20,16,320,0.846875,31.797047970479706,113.89667896678966
